13,145,175,304
27,140,184,299
33,136,191,296
39,131,199,290
47,130,208,288
57,125,217,287
67,125,229,285
78,123,239,283
84,119,245,280
92,120,254,279
101,119,263,278
113,121,276,279
124,118,287,277
132,115,293,276
138,116,301,276
142,119,304,280
145,124,305,286
144,131,305,297
135,141,299,307
128,150,289,317
122,158,283,322
118,164,280,330
111,173,275,335
110,175,271,339
109,180,269,343
108,183,268,346
108,186,269,348
110,189,270,351
112,191,272,354
111,194,274,356
114,197,273,359
115,199,278,361
116,199,279,361
118,201,280,362
122,202,282,364
122,202,284,364
124,201,287,362
128,200,293,363
136,198,305,362
147,197,314,361
155,197,322,362
162,194,330,361
168,195,336,358
173,195,339,359
176,193,341,358
179,193,343,357
182,189,347,355
185,190,349,354
186,186,351,350
190,184,356,349
197,182,365,348
205,180,374,346
212,177,378,343
220,174,384,339
222,171,389,337
225,168,393,334
229,165,396,330
229,162,395,328
233,157,399,324
234,155,401,319
229,150,399,318
209,147,384,312
204,146,371,310
206,151,369,323
205,166,369,338
206,175,376,344
213,180,382,349
216,180,385,347
218,179,385,347
219,180,385,346
216,178,386,344
208,175,380,341
200,173,371,340
198,174,361,338
193,180,347,333
193,188,334,326
199,196,330,323
206,201,325,318
217,205,326,314
224,208,329,309
234,210,330,305
234,211,330,305
233,208,330,304
231,206,330,302
232,205,328,300
230,204,328,297
229,200,326,296
227,199,325,296
228,197,325,292
229,196,323,293
228,195,322,291
227,195,322,291
224,195,320,292
222,197,320,295
221,198,318,296
220,198,317,295
222,199,320,296
224,200,321,296
224,201,321,300
224,203,321,302
225,209,324,307
229,213,326,318
232,223,331,325
233,231,332,335
236,241,334,345
238,252,335,358
236,262,333,365
237,270,332,370
235,274,333,375
233,278,332,385
233,291,329,391
232,294,330,395
228,299,327,401
229,301,324,402
224,304,322,406
221,307,319,404
219,307,316,406
216,297,314,403
215,289,311,391
213,286,310,387
212,284,308,384
209,285,306,385
207,279,304,381
206,276,303,375
205,270,299,373
203,261,298,364
200,256,297,357
199,251,292,351
196,249,291,347
192,247,289,348
189,247,285,345
185,247,281,344
182,246,277,345
179,246,274,344
175,246,270,345
173,245,268,342
171,247,262,343
167,245,261,342
163,243,257,341
161,242,256,339
159,242,253,339
158,241,248,338
154,239,247,336
152,239,245,337
150,238,242,335
147,238,241,334
146,234,239,331
143,233,235,328
144,231,234,328
140,231,233,327
137,231,229,326
135,231,224,328
131,231,222,326
130,231,224,325
130,230,224,326
130,230,225,325
135,230,227,324
136,228,230,323
138,228,233,323
141,228,238,323
147,228,243,323
153,230,247,324
154,231,248,326
154,234,248,330
154,236,248,333
154,238,248,334
155,239,250,337
157,241,251,339
158,241,254,340
161,242,255,340
160,242,257,343
162,241,257,342
166,241,259,340
167,240,263,340
170,238,265,339
172,239,267,336
174,236,267,334
174,232,268,333
174,230,267,330
174,228,268,330
175,226,270,329
178,222,277,324
188,221,285,323
195,218,290,320
199,215,294,318
205,211,302,315
210,209,307,315
219,208,316,313
226,206,324,311
237,204,333,308
246,202,340,307
250,198,347,308
256,199,350,305
257,195,354,304
262,196,355,304
264,195,357,303
267,192,361,301
269,193,362,300
272,191,364,299
273,188,365,295
274,186,367,297
275,183,369,292
280,183,372,292
282,181,374,291
286,177,378,288
289,176,382,289
292,176,385,287
295,174,389,285
299,172,393,285
302,173,395,284
307,173,396,283
313,170,401,280
317,168,407,281
319,165,412,278
326,166,414,279
326,162,416,277
329,164,418,277
331,160,420,278
334,160,423,277
337,157,428,274
342,159,434,274
345,154,438,269
352,152,441,270
356,150,446,267
361,149,451,267
367,151,453,265
372,145,458,265
370,141,464,266
381,144,467,262
387,139,474,259
391,137,478,259
395,136,481,256
398,132,485,257
394,132,487,254
396,132,488,254
399,129,493,251
402,127,495,250
403,126,499,251
407,124,501,250
411,119,504,248
413,122,507,246
416,119,511,248
418,119,514,248
420,117,516,246
424,117,518,246
425,118,520,247
426,117,523,249
427,117,524,249
426,118,525,248
429,118,526,247
428,113,527,247
428,114,527,248
430,114,527,247
429,116,528,250
430,119,529,251
431,120,529,253
431,122,530,255
431,124,532,258
435,125,534,259
437,127,535,260
437,128,538,261
439,128,538,264
439,129,539,264
440,130,540,263
441,130,541,265
442,130,543,265
444,132,543,266
443,132,543,270
442,133,545,269
442,133,543,271
443,135,543,272
442,134,542,272
440,135,543,273
440,133,542,272
440,137,542,272
441,134,542,272
439,133,542,274
440,131,545,273
442,132,546,274
445,131,552,273
448,132,552,273
448,132,552,272
449,133,554,271
448,133,553,274
450,133,555,276
450,132,556,277
451,133,556,276
452,135,556,278
451,136,557,279
450,135,556,277
450,135,555,278
449,134,556,279
449,132,554,277
447,134,552,277
445,132,552,278
443,130,550,278
443,131,547,278
440,131,544,278
436,130,543,279
435,130,538,277
